GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,Students Gender,就讀學生性別,Session,學校授課時間,District,分區,Finance Type,資助種類,School Level,學校類型,Telephone,聯絡電話,Fax Number,傳真號碼,Website,網頁,Religion,宗教,SCHOOL NO.,學校編號,Northing,Easting,Latitude,Longitude,Last Update
"CzNLppg2D3","Aided Primary Schools","CHRISTIAN & MISSIONARY ALLIANCE SUN KEI PRIMARY SCHOOL (PING SHEK)","ESTATE SCHOOL NO.2 PING SHEK ESTATE 12 CLEAR WATER BAY ROAD KOWLOON","資助小學","基督教宣道會宣基小學(坪石)","九龍清水灣道12號坪石邨屋邨小學第二校舍","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","23423322","23423322","23423396","23423396","http://www.sk2.edu.hk","http://www.sk2.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","600881000123","600881000123","821663.0","839779.0","22.33402","114.21096","2019-10-29 04:16:04"
"O1rb0E33pR","Aided Primary Schools","TWGHS SHUI CHUEN O PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO.1, MEI LAM ESTATE, SHATIN, NEW TERRITORIES","資助小學","東華三院水泉澳小學","新界沙田美林邨屋邨小學第1校舍","CO-ED","男女","WHOLE DAY","全日","SHA TIN","沙田區","AIDED","資助","PRIMARY","小學","29593606","29593606","29593615","29593615","http://www.twghscops.edu.hk","http://www.twghscops.edu.hk","NOT APPLICABLE","不適用","610160000123","610160000123","826586.0","836362.0","22.37848","114.17779","2019-10-29 04:16:04"
"fT1NiwOADO","Aided Primary Schools","NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO. 1, TAI YUEN ESTATE, TAI PO, NEW TERRITORIES","資助小學","新界婦孺福利會基督教銘恩小學","新界大埔大元邨屋邨第一小學","CO-ED","男女","WHOLE DAY","全日","TAI PO","大埔區","AIDED","資助","PRIMARY","小學","26686112","26686112","26686512","26686512","http://taipocrgps.edu.hk","http://taipocrgps.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","610224000123","610224000123","835097.0","835705.0","22.45534","114.1714","2019-10-29 04:16:04"
"9kqsGi848C","Aided Primary Schools","THE CHURCH OF CHRIST IN CHINA FONG YUN WAH PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL TIN YIU ESTATE PHASE II TIN SHUI WAI NEW TERRITORIES","資助小學","中華基督教會方潤華小學","新界天水圍天耀邨第二期屋邨小學校舍","CO-ED","男女","WHOLE DAY","全日","YUEN LONG","元朗區","AIDED","資助","PRIMARY","小學","22519751","22519751","22519759","22519759","http://www.cccfyw.edu.hk","http://www.cccfyw.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","602558000123","602558000123","834888.0","818605.0","22.45336","114.00527","2019-10-29 04:16:04"
"tnPAmFchvQ","Aided Primary Schools","THE MISSION COVENANT CHURCH HOLM GLAD NO.2 PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO.1 SHUN ON ESTATE KWUN TONG KOWLOON","資助小學","基督教聖約教會堅樂第二小學","九龍觀塘順安邨屋邨小學第一校舍","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","28733122","28733122","28733168","28733168","https://hg2ps.edu.hk","https://hg2ps.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","600873000123","600873000123","820953.0","841273.0","22.3276","114.22546","2019-10-29 04:16:04"
"IQh2VYwF9J","Aided Primary Schools","SHEK LEI ST. JOHN'S CATHOLIC PRIMARY SCHOOL","99 TAI PAK TIN STREET, KWAI CHUNG, NEW TERRITORIES","資助小學","石籬聖若望天主教小學","新界葵涌大白田街９９號","CO-ED","男女","WHOLE DAY","全日","KWAI TSING","葵青區","AIDED","資助","PRIMARY","小學","35950036","35950036","35950163","35950163","http://www.slsj.edu.hk","http://www.slsj.edu.hk","CATHOLICISM","天主教","575720000123","575720000123","825563.0","832527.0","22.36924","114.14055","2019-10-29 04:16:03"
"HloHvxGlAi","Aided Primary Schools","TUNG WAH GROUP OF HOSPITALS MA KAM CHAN MEMORIAL PRIMARY SCHOOL","2 CHING SHING ROAD, SHEUNG SHUI, NEW TERRITORIES","資助小學","東華三院馬錦燦紀念小學","新界上水清城路２號","CO-ED","男女","WHOLE DAY","全日","NORTH","北區","AIDED","資助","PRIMARY","小學","26711071","26711071","26711079","26711079","http://www.twghmkc.edu.hk","http://www.twghmkc.edu.hk","NOT APPLICABLE","不適用","578320000223","578320000223","839413.0","830831.0","22.4943","114.12404","2019-10-29 04:16:03"
"mrwZ2WzN7t","Aided Primary Schools","PO LEUNG KUK WOMEN'S WELFARE CLUB WESTERN DISTRICT FUNG LEE PUI YIU PRIMARY SCHOOL","11 KWUN TSING ROAD SO KWUN WAT TUEN MUN NEW TERRITORIES","資助小學","保良局西區婦女福利會馮李佩瑤小學","新界屯門掃管笏管青路１１號","CO-ED","男女","WHOLE DAY","全日","TUEN MUN","屯門區","AIDED","資助","PRIMARY","小學","24112208","24112208","24112207","24112207","http://plkflpy.edu.hk","http://plkflpy.edu.hk","NOT APPLICABLE","不適用","584118000123","584118000123","826096.0","817569.0","22.37395","113.99531","2019-10-29 04:16:03"
"wqkB1MJY3d","Aided Primary Schools","S.K.H. YUEN CHEN MAUN CHEN JUBILEE PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL AREA 8 FU HENG ESTATE PHASE IV TAI PO NEW TERRITORIES","資助小學","聖公會阮鄭夢芹銀禧小學","新界大埔富亨邨第四期第八區屋邨小學","CO-ED","男女","WHOLE DAY","全日","TAI PO","大埔區","AIDED","資助","PRIMARY","小學","26660606","26660606","26678051","26678051","http://www.skhycmcj.edu.hk","http://www.skhycmcj.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","575844000123","575844000123","835553.0","835803.0","22.45945","114.17236","2019-10-29 04:16:03"
"NhI6efRMOn","Aided Primary Schools","SHUN TAK FRATERNAL ASSOCIATION LEE KAM PRIMARY SCHOOL","23 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES","資助小學","順德聯誼總會李金小學","新界屯門掃管笏路２３號","CO-ED","男女","WHOLE DAY","全日","TUEN MUN","屯門區","AIDED","資助","PRIMARY","小學","24411222","24411222","24411282","24411282","http://www.leekamps.edu.hk","http://www.leekamps.edu.hk","NOT APPLICABLE","不適用","584126000123","584126000123","826124.0","817641.0","22.3742","113.99601","2019-10-29 04:16:03"
